dept,full,link,name,time,date,hospital
PSY,名額已滿,https://reg.ntuh.gov.tw/webadministration/ClinicDt.aspx?x=QQBNAFAATQA9ADEAJgBEAHQAQwBvAGQAZQA9ADAAMQA3ADIAMgA2ACYAQwBsAGkAbgBpAGMAQwBvAGQAZQA9ADAAMwAmAFMAdQBiAEQAZQBwAHQAQwBvAGQAZQA9ADAAMQAmAEgAbwBzAHAAPQBUADAAJgBEAGUAcAB0AD0AUABTAFkAQwAmAEQAYQB0AGUAPQAyADAAMQA1AC8AMAAyAC8AMgAzACYAUwByAHYASQBEAD0AMgAxADIANgA2ADUANAAmAFQAZQBtAHAASQBEAD0AMQA3ADAAMQA2AA2,陳宜明,morning,104.02.23,ntuh
PSY,可掛號,https://reg.ntuh.gov.tw/webadministration/ClinicDt.aspx?x=QQBNAFAATQA9ADEAJgBEAHQAQwBvAGQAZQA9ADkAOQA5ADkAOQA5ACYAQwBsAGkAbgBpAGMAQwBvAGQAZQA9ADAAMQAmAFMAdQBiAEQAZQBwAHQAQwBvAGQAZQA9ADAAMgAmAEgAbwBzAHAAPQBUADAAJgBEAGUAcAB0AD0AUABTAFkAQwAmAEQAYQB0AGUAPQAyADAAMQA1AC8AMAAyAC8AMgAxACYAUwByAHYASQBEAD0AMgAxADIAMAAzADUANgAmAFQAZQBtAHAASQBEAD0AMwAzADQANgA1,住院醫師,morning,104.02.21,ntuh
PSY,名額已滿,https://reg.ntuh.gov.tw/webadministration/ClinicDt.aspx?x=QQBNAFAATQA9ADEAJgBEAHQAQwBvAGQAZQA9ADcANwA3ADcANwA3ACYAQwBsAGkAbgBpAGMAQwBvAGQAZQA9ADAAMwAmAFMAdQBiAEQAZQBwAHQAQwBvAGQAZQA9ADAAMQAmAEgAbwBzAHAAPQBUADAAJgBEAGUAcAB0AD0AUABTAFkAQwAmAEQAYQB0AGUAPQAyADAAMQA1AC8AMAAyAC8AMgAxACYAUwByAHYASQBEAD0AMgAxADEAOQA4ADUANgAmAFQAZQBtAHAASQBEAD0AMQA2ADEAMgA0AA2,主治醫師,morning,104.02.21,ntuh
PSY,名額已滿,https://reg.ntuh.gov.tw/webadministration/ClinicDt.aspx?x=QQBNAFAATQA9ADEAJgBEAHQAQwBvAGQAZQA9ADAAMAAwADAAOAA3ACYAQwBsAGkAbgBpAGMAQwBvAGQAZQA9ADIANgAmAFMAdQBiAEQAZQBwAHQAQwBvAGQAZQA9ADAAMgAmAEgAbwBzAHAAPQBUADAAJgBEAGUAcAB0AD0AUABTAFkAQwAmAEQAYQB0AGUAPQAyADAAMQA1AC8AMAAyAC8AMgA2ACYAUwByAHYASQBEAD0AMQA5ADkANgA5ADMANAAmAFQAZQBtAHAASQBEAD0ANAAzADkAOQA1,李明濱,morning,104.02.26,ntuh
PSY,可掛號,https://reg.ntuh.gov.tw/webadministration/ClinicDt.aspx?x=QQBNAFAATQA9ADEAJgBEAHQAQwBvAGQAZQA9ADAAMAAzADkAMAA5ACYAQwBsAGkAbgBpAGMAQwBvAGQAZQA9ADAAMAAmAFMAdQBiAEQAZQBwAHQAQwBvAGQAZQA9ADAAMgAmAEgAbwBzAHAAPQBUADAAJgBEAGUAcAB0AD0AUABTAFkAQwAmAEQAYQB0AGUAPQAyADAAMQA1AC8AMAAyAC8AMgA2ACYAUwByAHYASQBEAD0AMQA5ADkANgA1ADgAMAAmAFQAZQBtAHAASQBEAD0AMQAyADcAMwA0AA2,劉震鐘,morning,104.02.26,ntuh
PSY,可掛號,https://reg.ntuh.gov.tw/webadministration/ClinicDt.aspx?x=QQBNAFAATQA9ADEAJgBEAHQAQwBvAGQAZQA9ADkAOQA5ADkAOQA5ACYAQwBsAGkAbgBpAGMAQwBvAGQAZQA9ADIAMQAmAFMAdQBiAEQAZQBwAHQAQwBvAGQAZQA9ADAAMgAmAEgAbwBzAHAAPQBUADAAJgBEAGUAcAB0AD0AUABTAFkAQwAmAEQAYQB0AGUAPQAyADAAMQA1AC8AMAAyAC8AMgA1ACYAUwByAHYASQBEAD0AMQA5ADkANQA5ADAANgAmAFQAZQBtAHAASQBEAD0AMwAzADkAMwA1,住院醫師,morning,104.02.25,ntuh
PSY,名額已滿,https://reg.ntuh.gov.tw/webadministration/ClinicDt.aspx?x=QQBNAFAATQA9ADEAJgBEAHQAQwBvAGQAZQA9ADAAMAAzADUAMgA4ACYAQwBsAGkAbgBpAGMAQwBvAGQAZQA9ADAAMAAmAFMAdQBiAEQAZQBwAHQAQwBvAGQAZQA9ADAAMgAmAEgAbwBzAHAAPQBUADAAJgBEAGUAcAB0AD0AUABTAFkAQwAmAEQAYQB0AGUAPQAyADAAMQA1AC8AMAAyAC8AMgA1ACYAUwByAHYASQBEAD0AMQA5ADkANQAzADkAOAAmAFQAZQBtAHAASQBEAD0AMQA2ADEANQAzAA2,黃宗正,morning,104.02.25,ntuh
PSY,名額已滿,https://reg.ntuh.gov.tw/webadministration/ClinicDt.aspx?x=QQBNAFAATQA9ADEAJgBEAHQAQwBvAGQAZQA9ADAAMAA2ADcAMQA2ACYAQwBsAGkAbgBpAGMAQwBvAGQAZQA9ADIANgAmAFMAdQBiAEQAZQBwAHQAQwBvAGQAZQA9ADAAMgAmAEgAbwBzAHAAPQBUADAAJgBEAGUAcAB0AD0AUABTAFkAQwAmAEQAYQB0AGUAPQAyADAAMQA1AC8AMAAyAC8AMgA1ACYAUwByAHYASQBEAD0AMQA5ADkANQA1ADcAOQAmAFQAZQBtAHAASQBEAD0AMQAxADUAMQA5AA2,劉智民,morning,104.02.25,ntuh
PSY,名額已滿,https://reg.ntuh.gov.tw/webadministration/ClinicDt.aspx?x=QQBNAFAATQA9ADEAJgBEAHQAQwBvAGQAZQA9ADkAOQA5ADkAOQA5ACYAQwBsAGkAbgBpAGMAQwBvAGQAZQA9ADIAMQAmAFMAdQBiAEQAZQBwAHQAQwBvAGQAZQA9ADAAMgAmAEgAbwBzAHAAPQBUADAAJgBEAGUAcAB0AD0AUABTAFkAQwAmAEQAYQB0AGUAPQAyADAAMQA1AC8AMAAyAC8AMgA0ACYAUwByAHYASQBEAD0AMQA5ADkANAA4ADAAOAAmAFQAZQBtAHAASQBEAD0AMwAzADcANQA1,住院醫師,morning,104.02.24,ntuh
